Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_qsort1;compare;19;3;4;0;134709900;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;20;3;4;0;155952600;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;1;8;11;0;226;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;2;8;11;0;423;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;3;8;11;0;303;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;4;8;11;0;263;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;5;8;11;0;375;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;6;8;11;0;1300;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;7;8;11;0;325;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;8;8;11;0;461;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;9;8;11;0;256;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;10;8;11;0;294;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
